loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
69.84592306317818,20.547936888765697,69.84592306317818,69.84985112222708,65.5761731094248
16.52057224912389,16.889794089577414,16.52057224912389,16.485062325450404,18.171525408614087
14.842601166368079,14.418623727215223,14.842601166368079,14.813228258871659,16.38206751103125
13.5515099378935,13.213730551979758,13.5515099378935,13.52332405311423,15.183351566732314
12.66424731278266,12.899992335926402,12.66424731278266,12.637611733079504,14.206762938512611
12.32519536426337,12.323439227648018,12.32519536426337,12.300150942341823,13.835820494601785
12.12077846105974,12.327560944990678,12.12077846105974,12.097511804750894,13.294145215182755
11.995372742387058,12.002363874892557,11.995372742387058,11.973283933518452,13.040611576792726
11.87641390157382,11.933714188820074,11.87641390157382,11.855267732650068,12.878856884413283
11.792118078651182,11.868695598003292,11.792118078651182,11.771755636999556,12.656059147572451
11.728678538367193,12.017294568463791,11.728678538367193,11.708740953798127,12.519554752325288
11.666664092828071,11.549308177853419,11.666664092828071,11.647034579279671,12.547579959213131
11.608446273873898,12.313903911054627,11.608446273873898,11.58922920560442,12.455581164513582
11.563864810596176,11.718788714448282,11.563864810596176,11.545173723103261,12.243358689266932
11.532760492902122,11.608367517959973,11.532760492902122,11.514112435685679,12.264985234559735
11.496920562821346,11.420163982170672,11.496920562821346,11.478334818175876,12.336691651085482
11.464765675043775,11.617552229195587,11.464765675043775,11.446157986238228,12.17151846135551
11.437758772989534,11.471680428370956,11.437758772989534,11.419278115884032,12.383829847649904
11.41930403705025,11.291587963577145,11.41930403705025,11.400993368224256,12.258134437901445
11.394954251497298,11.417892322067386,11.394954251497298,11.376656119935317,12.198419618299496
11.372308668787587,11.29068990975372,11.372308668787587,11.3542930406502,12.082477138803547
11.361760637797449,11.486139770381707,11.361760637797449,11.34365476241546,12.114839405561655
11.341488971552282,11.479351248622926,11.341488971552282,11.323355973918392,12.157299158434968
11.327295831506584,11.22775169246453,11.327295831506584,11.30925379703104,12.136619224390417
11.316847962640027,11.435424158395815,11.316847962640027,11.298870117377007,12.216395597449113
11.300841762258464,11.09824173509582,11.300841762258464,11.282908002718282,12.092034381140014
11.281278206650665,11.319471288318477,11.281278206650665,11.263354067201448,11.950710934460876
11.27319116162508,11.160016784983233,11.27319116162508,11.25548371944059,11.949210647716365
11.265024696672961,11.18539449203113,11.265024696672961,11.247218911978994,12.081927175793828
11.253019305688039,11.335976293264341,11.253019305688039,11.235063319482602,12.305900290347944
11.247417926349657,11.179759001928913,11.247417926349657,11.229669440198405,11.897262726777612
11.240545583407377,11.155099230364334,11.240545583407377,11.222620206901318,12.119539844298867
11.227052421008324,11.107051691733115,11.227052421008324,11.209366782608663,12.013117791099512
11.220611230100968,11.107408594494023,11.220611230100968,11.20295984940235,11.842839808670226
11.207816995166263,11.25535894031367,11.207816995166263,11.190193604414027,11.937109716462782
11.20537895178071,11.356201912745956,11.20537895178071,11.187699403911965,11.921315448483746
11.20156212870748,11.083358008014269,11.20156212870748,11.184046637386825,11.957319018373603
11.18449128562415,11.256722536954014,11.18449128562415,11.166940591701588,11.812925582647104
11.187369917770427,11.084569978319909,11.187369917770427,11.169974244616947,11.969563460503572
11.176664639308898,11.148393828021593,11.176664639308898,11.159103114558889,12.060987551495254
11.172819260401582,11.034162647468,11.172819260401582,11.15528429201577,12.034436876881308
11.164669351832188,11.01686457957118,11.164669351832188,11.147174441277048,11.79014897192961
11.157197574134694,11.081846749487003,11.157197574134694,11.139842070234732,11.8157786586028
11.152788570197,10.998340512110182,11.152788570197,11.135517294953038,11.830272460926972
11.153628828334721,11.117073413754298,11.153628828334721,11.136159080042132,11.777615000594068
11.144606012977803,10.977845428403745,11.144606012977803,11.12724211288354,11.716050234867437
11.135318363052832,10.9657637383327,11.135318363052832,11.117889913157136,11.826906891184985
11.133182000104945,11.02646734694804,11.133182000104945,11.115759522298552,11.873884963462851
11.127546978084562,11.00252898665499,11.127546978084562,11.110120880351554,11.88120768897119
11.12546032639743,11.06493023801441,11.12546032639743,11.108013414525065,11.91084538541371
11.120283296158693,11.013645298224835,11.120283296158693,11.102933442362318,11.908923077166573
11.11612045951359,10.900565549361804,11.11612045951359,11.098774300218176,11.676419447624255
11.10951751421215,10.93002341404434,11.10951751421215,11.092334032278051,11.872117861981993
11.109388839244405,11.04936053536155,11.109388839244405,11.092157025236325,11.858642121905456
11.105434909037964,11.033174483244084,11.105434909037964,11.088278512507266,11.897212062719884
11.095545850330904,10.927443567386343,11.095545850330904,11.078185441193497,11.906147045286401
11.097279686388228,10.92817077951983,11.097279686388228,11.080126424612205,11.819627739907189
11.088876919013815,10.887817895116886,11.088876919013815,11.07176822813257,11.81315536200726
11.086340240085464,11.004048378999569,11.086340240085464,11.069145998388885,11.903440791308167
11.085303747006918,10.99764940561342,11.085303747006918,11.068137483851231,11.869676648747953
11.081745493379117,10.96562980620329,11.081745493379117,11.064494674317642,11.868367977721382
11.078207622236798,10.906951667848697,11.078207622236798,11.060997097889217,11.735342743425273
11.075011559550436,11.026627966195099,11.075011559550436,11.05801146120354,11.789458974085495
11.076101562794788,10.97058692648391,11.076101562794788,11.059046627736025,11.842472536583614
11.065203656158868,10.978313863770035,11.065203656158868,11.048160717042082,11.730159896387347
11.066360543820435,10.883799789365659,11.066360543820435,11.049201717043317,11.602746190559786
11.068046863734887,10.890670918236093,11.068046863734887,11.050954705548046,11.833697116364002
11.058838292449137,10.97378342210754,11.058838292449137,11.041775921011805,11.663520530483101
11.060230681516758,10.88026336007867,11.060230681516758,11.043293963470038,11.767929407907607
11.05656964338034,10.875499512538436,11.05656964338034,11.03949839935022,11.648063672828147
11.050583707814713,10.979819928319001,11.050583707814713,11.033565476495625,11.71996058031519
11.04801742286998,10.90420343856181,11.04801742286998,11.030985180346814,11.70894435401783
11.04932382244963,10.88196349341022,11.04932382244963,11.032376918424239,11.870761632699976
11.046985446364921,10.903553064204445,11.046985446364921,11.030021965777863,11.850608134335515
11.045896390653468,10.887543268440183,11.045896390653468,11.02892240824344,11.73317041633978
11.04159612138006,10.946377005458864,11.04159612138006,11.024551209113746,11.665466644178318
11.036984702481407,10.903407010165127,11.036984702481407,11.020052000921368,11.58567625070342
11.035354696728268,10.883807245364858,11.035354696728268,11.018395286145951,11.698575111080334
11.033554499151515,10.842910829654409,11.033554499151515,11.0165614730849,11.890026579455926
11.026024847372804,10.966254368301266,11.026024847372804,11.00919561026397,11.79028400940531
11.031986224289431,10.900775097618418,11.031986224289431,11.014951725234214,11.875807273464677
11.024308744218224,10.926684939171658,11.024308744218224,11.00751267427025,11.667327929113366
11.018547814377097,10.862529636414584,11.018547814377097,11.001456286124165,11.727778500554313
11.020797582098181,10.801772354062924,11.020797582098181,11.00402337296248,11.667665004291552
11.025537328535851,10.8131963477647,11.025537328535851,11.00863435406584,11.719633150670983
11.02586071361833,10.897156549879343,11.02586071361833,11.00907740202538,11.8127035125199
11.017775107439,10.804048530326401,11.017775107439,11.000754287074,11.640146730136959
11.01878436596545,10.90943561112585,11.01878436596545,11.001914062956219,11.81333589729302
11.012465278709714,10.892478075894443,11.012465278709714,10.995462016655747,11.71755279963896
11.007072038132879,10.84929519842479,11.007072038132879,10.990232120222638,11.801078883243902
11.006010937273995,10.887350082397461,11.006010937273995,10.989207654670498,11.575045725130224
11.005195956331058,10.90619524648367,11.005195956331058,10.988180149994317,11.600159082702243
