loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
42.80812358856201,13.271479025279007,42.80812358856201,42.80575363862041,38.86789823817915
11.89772344875044,11.442048869720876,11.89772344875044,11.889689819528423,11.740862957928158
11.365318127728383,11.086362472952228,11.365318127728383,11.357257188277872,11.321119702190433
11.040589431739363,11.111951488338105,11.040589431739363,11.033810797816752,10.756038404021423
10.66211099216333,10.790914659630763,10.66211099216333,10.655271338395751,10.426254148512442
10.525783487051635,10.409386758934962,10.525783487051635,10.518834812560941,10.40964226693553
10.439278503441301,10.475198275422397,10.439278503441301,10.43265183183396,10.293323101253684
10.347102933702848,10.164615500463198,10.347102933702848,10.341093532900562,10.141823654874749
10.242106154788889,10.116525891709001,10.242106154788889,10.236485495844382,9.964333708133173
10.20016707849065,10.091669389646347,10.20016707849065,10.194601707866797,9.868758096607452
10.149165577115633,10.18086916126617,10.149165577115633,10.143197166810342,9.947006756377148
10.108125933813392,10.004060542746766,10.108125933813392,10.101817898064942,9.888616255663951
10.077829825404223,10.150106345137505,10.077829825404223,10.07142933282648,9.997760415441764
10.040552348536453,10.088278698594603,10.040552348536453,10.03418262143383,9.798762764041212
10.024991170346555,9.928626615707188,10.024991170346555,10.018669662125614,9.738339941800552
9.998733572274537,9.894993403186536,9.998733572274537,9.992597641201193,9.721452537297473
9.990413797740178,9.876498516291788,9.990413797740178,9.984399069339856,9.802452914940837
9.97661203783951,9.939109122916443,9.97661203783951,9.97056783740309,9.80625798286648
9.955060294644184,9.932697694595547,9.955060294644184,9.94905263057907,9.791494944773683
9.951303611107923,9.867925552472677,9.951303611107923,9.9453085416683,9.74803115687239
9.935648950232643,9.882880112896228,9.935648950232643,9.92971343440018,9.661536298396026
9.927935126360039,9.871348100165799,9.927935126360039,9.92182949413218,9.791960268210198
9.916731842431817,9.86947635755147,9.916731842431817,9.910594259197923,9.810949365662507
9.90331375562452,9.854785618716724,9.90331375562452,9.897257482604514,9.696692059164018
9.895213819789594,9.888597279378812,9.895213819789594,9.889168091870228,9.769804592161734
9.889739703694614,9.771409067389083,9.889739703694614,9.883701279987253,9.81905219460117
9.88267556607541,9.86294796695448,9.88267556607541,9.876618322611584,9.762333321644261
9.870154639631965,9.771696338914845,9.870154639631965,9.864181966227493,9.643944512813464
9.86454877722154,9.814908360781734,9.86454877722154,9.858511159179407,9.73274839179596
9.863922967094165,9.839036823952036,9.863922967094165,9.857842489849173,9.57686707040221
9.855944712227638,9.845442105646002,9.855944712227638,9.849948769315667,9.591321739581748
9.842444598492497,9.777010571466734,9.842444598492497,9.836462872473108,9.652839615075232
9.842608786504202,9.722224490283287,9.842608786504202,9.836582021975737,9.613571589146185
9.838863516437168,9.729664299586048,9.838863516437168,9.832904718702357,9.656744107193903
