loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
67.19917241037714,11.76136816828704,67.19917241037714,67.07179068904901,75.4691273470811
10.381901208479249,11.218386035320187,10.381901208479249,10.328515094030639,14.243301437223517
9.462839281877027,9.683074738368514,9.462839281877027,9.409763451991218,13.619764354323287
8.836477040147825,8.866700117253075,8.836477040147825,8.78886947263351,12.570047542603605
8.537272156765402,8.490737410616283,8.537272156765402,8.506479557216332,10.713510987072114
8.367407407471097,8.387862591704062,8.367407407471097,8.345238696136054,9.866191004653972
8.2568878140489,8.555502576276291,8.2568878140489,8.239475430099922,9.162970084494807
8.182620312603877,8.711984870847592,8.182620312603877,8.167273378854732,8.934950283720829
8.138550244237484,8.161053696939767,8.138550244237484,8.124137366925671,8.803104759030312
8.106632975338792,8.242569584491825,8.106632975338792,8.092583420743829,8.706647676838136
8.077414126163683,8.198790313783755,8.077414126163683,8.063848237543887,8.606971393293927
8.049252525424343,8.306115993783493,8.049252525424343,8.036134434711418,8.590462364838993
8.035176385074113,8.051153277562669,8.035176385074113,8.022242070560402,8.5757749328508
8.01961451620823,8.093272224930692,8.01961451620823,8.00679614243424,8.499906732494281
8.00612991933112,8.038305830364385,8.00612991933112,7.993656020704057,8.47179910428171
7.992708638269307,8.081624539430477,7.992708638269307,7.9803695305839195,8.560711148691047
7.9844168480537085,8.119903820605318,7.9844168480537085,7.972228375727031,8.420891156411544
7.973654268856102,8.076507284621561,7.973654268856102,7.9617120348869825,8.517277215748834
7.966382614493699,8.089988972529891,7.966382614493699,7.954510765988123,8.45159249099549
7.958753512995772,7.930061308805608,7.958753512995772,7.947122678256627,8.400597859657239
7.948191601964675,7.987815041187381,7.948191601964675,7.936729177599559,8.323106796454155
7.943798197664684,7.943921806398502,7.943798197664684,7.932456751317197,8.358371371836869
7.937973120723608,7.980874636941705,7.937973120723608,7.926714992786397,8.37882257187816
7.92885113727531,7.985925993643517,7.92885113727531,7.917747942811322,8.373106267327218
7.925408658568971,7.936502034999123,7.925408658568971,7.914407318627604,8.40407772994195
7.919112200241299,8.038567712484312,7.919112200241299,7.908325705488779,8.33766054909714
7.91294387073394,7.8873712011605255,7.91294387073394,7.902235615878557,8.219613668341754
7.912006154450783,7.93166637026574,7.912006154450783,7.9013362966114595,8.197060867965824
7.906311785286462,7.956865598347561,7.906311785286462,7.89584381600093,8.3008224167951
7.901729419676667,8.00716888411971,7.901729419676667,7.891263027419272,8.441882569963163
7.89918464987017,7.872545486639354,7.89918464987017,7.888757461786489,8.163973762227947
7.893642450102777,7.97449310949026,7.893642450102777,7.8833102460508515,8.29356120503486
7.891150641682615,7.889016655851002,7.891150641682615,7.880819279443483,8.24349947905694
7.888302647749437,7.952820821241899,7.888302647749437,7.8780963844187015,8.157209880656898
7.8844499438864,7.870187727872991,7.8844499438864,7.874176111809135,8.175448986183314
7.879400330063611,7.915985903464073,7.879400330063611,7.869342290269418,8.169178520964172
7.879867033006516,7.901660245312147,7.879867033006516,7.869807244224513,8.2031764212067
7.876473434276282,7.908034222185119,7.876473434276282,7.866415233050559,8.110680202442019
7.873599144550453,7.905983329804475,7.873599144550453,7.863578762608926,8.230902686290161
7.868508382356814,7.883583108255686,7.868508382356814,7.85857258878285,8.242921420819407
7.867794999751676,7.869930499841359,7.867794999751676,7.857810771454335,8.241944610469366
7.863420980834259,7.855530707304143,7.863420980834259,7.853441429664591,8.070419479973731
7.858581109560183,7.907054471575524,7.858581109560183,7.848713259359182,8.100457355969525
7.858916598498109,7.873209468589342,7.858916598498109,7.848971051038024,8.13246803450387
7.854782622564573,7.8393504639302405,7.854782622564573,7.844782790681475,8.083486149479954
7.850053128783815,7.871711553620898,7.850053128783815,7.840142229004749,8.075589043126813
7.849301786519238,7.924116824284073,7.849301786519238,7.839430226025059,8.119817019605593
